Variant Name,Variant SKU,Issued At,Realized COGS,Potential COGS,Realized Profit,Potential Profit,Realized Tax,Realized Discount,Potential Tax,Potential Discount,Total Sales,Quantity
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,20/10/2017,421.61,0,177.89,0,0,0,0,0,599.5,19
8.4 ml,7730,31/10/2017,238.59,0,310.41,0,0,0,0,0,549,9
118 ml,6210,15/10/2017,214.56,0,301.44,0,0,0,0,0,516,12
118 ml,2010,27/10/2017,214.56,0,301.44,0,0,0,0,0,516,12
20 ml,7980,07/10/2017,206.4792,0,281.5208,0,0,0,0,0,488,8
20 ml,7770,23/10/2017,211.0416,0,264.9584,0,0,0,0,0,476,7
118 ml,2010,31/10/2017,196.68,0,276.32,0,0,0,0,0,473,11
118 ml,2010,26/10/2017,196.68,0,276.32,0,0,0,0,0,473,11
118 ml,2010,05/10/2017,178.8,0,251.2,0,0,0,0,0,430,10
20 ml,7980,31/10/2017,180.936,0,246.064,0,0,0,0,0,427,7
Perfect Cleansing Oil,3140,20/10/2017,249.75,0,146.25,0,0,0,0,0,396,15
88 ml,7820,01/10/2017,161.816,0,222.184,0,0,0,0,0,384,8
118 ml,7670,15/10/2017,148,0,232,0,0,0,0,0,380,10
20 ml,7860,07/10/2017,139.4705,0,230.5295,0,0,0,0,0,370,5
Clear Extra Strength Acne Kit,4750,02/10/2017,149.9456,0,210.0544,0,0,0,0,0,360,4
118 ml,2010,07/10/2017,143.04,0,200.96,0,0,0,0,0,344,8
118 ml,2010,14/10/2017,143.04,0,200.96,0,0,0,0,0,344,8
20 ml,7770,31/10/2017,150.744,0,189.256,0,0,0,0,0,340,5
20 ml,7770,25/10/2017,150.744,0,189.256,0,0,0,0,0,340,5
20 ml,7770,12/10/2017,149.5665,0,190.4335,0,0,0,0,0,340,5
60 ml,7690,31/10/2017,142.38,0,193.62,0,0,0,0,0,336,7
30 ml,7640,31/10/2017,140.58,0,189.42,0,0,0,0,0,330,6
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,31/10/2017,155.33,0,155.42,0,0,0,0,0,310.75,7
190 ml,1350,31/10/2017,116.55,0,189.45,0,0,0,0,0,306,9
20 ml,7980,23/10/2017,129.24,0,175.76,0,0,0,0,0,305,5
15 ml,7870,07/10/2017,124.5576,0,179.4424,0,0,0,0,0,304,4
118 ml,2010,09/10/2017,125.16,0,175.84,0,0,0,0,0,301,7
60 ml,7760,03/10/2017,121.8648,0,166.1352,0,0,0,0,0,288,6
60 ml,7760,01/10/2017,121.8648,0,166.1352,0,0,0,0,0,288,6
88 ml,7820,15/10/2017,121.5592,0,166.4408,0,0,0,0,0,288,6
118 ml,2010,06/10/2017,125.16,0,158.64,0,0,0,0,0,283.8,7
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,27/10/2017,110.95,0,164.05,0,0,0,0,0,275,5
30 ml,7740,28/10/2017,116.8055,0,158.1945,0,0,0,0,0,275,5
30 ml,7740,31/10/2017,116.8055,0,158.1945,0,0,0,0,0,275,5
20 ml,7770,07/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
20 ml,7770,06/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
20 ml,7770,03/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
